,,,Overall,,,Conference,,,Points Per Game,,SRS,,Polls,,,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
61,Rice,CUSA (West),4,8,0.333,3,5,0.375,21.5,36.2,-10.1,-1.52,,,,
62,Louisiana Tech,CUSA (West),3,9,0.25,2,6,0.25,28,34,-9.73,-2.98,,,,
63,Southern Mississippi,CUSA (West),3,9,0.25,2,6,0.25,17.7,27.9,-13.12,-4.62,,,,
64,Notre Dame,Ind,11,2,0.846,1,0,1,35.2,19.7,16.31,3.85,8,9,5,
65,New Mexico State,Ind,2,10,0.167,1,0,1,22.6,40.4,-16.29,-2.87,,,,
66,Liberty,Ind,8,5,0.615,1,1,0.5,33.6,21.5,3.8,-3.51,,,,
67,Massachusetts,Ind,1,11,0.083,1,3,0.25,16.3,43.1,-21.27,-4.02,,,,
68,Connecticut,Ind,1,11,0.083,0,2,0,15.6,38.5,-19.18,-2.59,,,,
69,Army,Ind,9,4,0.692,3,0,1,32.8,22.3,5.94,-1.53,,,,
70,BYU,Ind,10,3,0.769,0,0,,33.1,24.8,7.29,0.29,19,,10,
71,Kent State,MAC (East),7,7,0.5,6,3,0.667,33,36.3,-7.88,-3.45,,,,
72,Miami (OH),MAC (East),7,6,0.538,5,3,0.625,28.9,23.1,-0.49,-4.42,,,,
73,Ohio,MAC (East),3,9,0.25,3,5,0.375,22.6,30.3,-12.73,-5.48,,,,
74,Bowling Green State,MAC (East),4,8,0.333,2,6,0.25,21.4,30.7,-12,-4.83,,,,
75,Buffalo,MAC (East),4,8,0.333,2,6,0.25,29.3,29.9,-9.41,-5.58,,,,
76,Akron,MAC (East),2,10,0.167,1,7,0.125,19.8,39.5,-16.82,-4.41,,,,
77,Northern Illinois,MAC (West),9,5,0.643,7,2,0.778,32.2,33.7,-1.18,-3.04,,,,
78,Central Michigan,MAC (West),9,4,0.692,6,2,0.75,32.3,25.8,1.35,-4.57,,,,
79,Toledo,MAC (West),7,6,0.538,5,3,0.625,33.4,21.8,0.28,-6.34,,,,
80,Western Michigan,MAC (West),8,5,0.615,4,4,0.5,32.5,28.2,1.08,-2.62,,,,
81,Eastern Michigan,MAC (West),7,6,0.538,4,4,0.5,30.2,30,-3.88,-4.8,,,,
82,Ball State,MAC (West),6,7,0.462,4,4,0.5,24.1,28.4,-5.56,-2.56,,,,
83,Utah State,MWC (Mountain),11,3,0.786,7,2,0.778,32.6,24.4,5.17,-3.04,24,,24,
84,Air Force,MWC (Mountain),10,3,0.769,6,2,0.75,31,19.8,8.7,-1.84,,,,
85,Boise State,MWC (Mountain),7,5,0.583,5,3,0.625,29.2,19,8.85,2.02,,,,
86,Wyoming,MWC (Mountain),7,6,0.538,2,6,0.25,25.4,23.7,-3.14,-4.52,,,,
87,Colorado State,MWC (Mountain),3,9,0.25,2,6,0.25,23.7,28.3,-6.57,-2.16,,,,
